"","CountryName","Year","water_score","sanitation_score","child_mortality"
"1","Afghanistan","10",50.05,33.56,16.65
"2","Afghanistan","11",52.62,34.67,15.39
"3","Afghanistan","12",55.2,35.79,14.65
"4","Afghanistan","13",57.79,36.93,14.42
"5","Afghanistan","14",60.38,38.07,14.64
"6","Afghanistan","15",62.98,39.22,15.13
"7","Afghanistan","16",62.98,39.22,15.7
"8","Afghanistan","17",62.98,39.22,16.14
"9","Afghanistan","18",62.98,39.22,16.14
"10","Albania","10",88.09,95.57,1.72
"11","Albania","11",88.11,96.18,1.7
"12","Albania","12",88.24,96.78,1.71
"13","Albania","13",89.84,97.31,1.73
"14","Albania","14",91.37,97.68,1.73
"15","Albania","15",91.39,97.69,1.72
"16","Albania","16",91.39,97.69,1.68
"17","Albania","17",91.39,97.69,1.64
"18","Albania","18",91.39,97.69,1.64
"19","Algeria","10",92.39,86.56,4.95
"20","Algeria","11",92.61,86.77,4.73
"21","Algeria","12",92.83,86.97,4.54
"22","Algeria","13",93.05,87.15,4.39
"23","Algeria","14",93.26,87.33,4.26
"24","Algeria","15",93.47,87.49,4.14
"25","Algeria","16",93.47,87.49,4.02
"26","Algeria","17",93.47,87.49,3.9
"27","Algeria","18",93.47,87.49,3.9
"28","American Samoa","10",99.11,62.3,6.59
"29","American Samoa","11",99.17,62.27,1.02
"30","American Samoa","12",99.23,62.23,6.28
"31","American Samoa","13",99.23,62.23,1.02
"32","American Samoa","14",99.23,62.23,1.02
"33","American Samoa","15",99.23,62.23,6.59
"34","American Samoa","16",99.23,62.23,6.59
"35","American Samoa","17",99.23,62.23,6.43
"36","American Samoa","18",99.23,62.23,1.02
"37","Andorra","10",100,100,0.5
"38","Andorra","11",100,100,0.56
"39","Andorra","12",100,100,0.5
"40","Andorra","13",100,100,0.71
"41","Andorra","14",100,100,0.65
"42","Andorra","15",100,100,0.71
"43","Andorra","16",100,100,0.5
"44","Andorra","17",100,100,0.5
"45","Andorra","18",100,100,0.5
"46","Angola","10",40.06,33.06,44.93
"47","Angola","11",40.26,34.34,41.94
"48","Angola","12",40.46,35.61,39.46
"49","Angola","13",40.65,36.89,37.46
"50","Angola","14",40.83,38.16,35.88
"51","Angola","15",41.01,39.43,34.67
"52","Angola","16",41.01,39.43,33.71
"53","Angola","17",41.01,39.43,32.9
"54","Angola","18",41.01,39.43,32.9
"55","Anguilla","10",96.94,95.26,3.6
"56","Anguilla","11",97.37,95.81,4.12
"57","Anguilla","12",97.79,96.36,1.62
"58","Anguilla","13",98.22,96.92,2.53
"59","Anguilla","14",98.22,96.92,0.8
"60","Anguilla","15",98.22,96.92,1.36
"61","Anguilla","16",98.22,96.92,1.38
"62","Anguilla","17",98.22,96.92,2.39
"63","Anguilla","18",98.22,96.92,1.38
"64","Antigua and Barbuda","10",97.09,86.33,2.33
"65","Antigua and Barbuda","11",96.97,86.72,2.3
"66","Antigua and Barbuda","12",96.86,87.11,2.26
"67","Antigua and Barbuda","13",96.74,87.5,2.22
"68","Antigua and Barbuda","14",96.74,87.5,2.17
"69","Antigua and Barbuda","15",96.74,87.5,2.11
"70","Antigua and Barbuda","16",96.74,87.5,2.05
"71","Antigua and Barbuda","17",96.74,87.5,1.99
"72","Antigua and Barbuda","18",96.74,87.5,1.99
"73","Argentina","10",99.44,94.87,2.42
"74","Argentina","11",99.48,94.85,2.39
"75","Argentina","12",99.51,94.83,2.34
"76","Argentina","13",99.51,94.83,2.3
"77","Argentina","14",99.63,94.84,2.24
"78","Argentina","15",99.63,94.84,2.19
"79","Argentina","16",99.63,94.84,2.13
"80","Argentina","17",99.63,94.84,2.08
"81","Argentina","18",99.63,94.84,2.08
"82","Armenia","10",97.64,91.21,2.87
"83","Armenia","11",97.77,91.28,2.9
"84","Armenia","12",97.72,91.35,2.92
